t,rdb
1949T1,"2,3"
1949T2,"2,3"
1949T3,"2,4"
1949T4,"2,4"
1950T1,"2,5"
1950T2,"2,6"
1950T3,"2,8"
1950T4,"2,9"
1951T1,"3,1"
1951T2,"3,3"
1951T3,"3,5"
1951T4,"3,7"
1952T1,"3,9"
1952T2,"3,9"
1952T3,"4,0"
1952T4,"4,0"
1953T1,"4,0"
1953T2,"4,1"
1953T3,"4,0"
1953T4,"4,1"
1954T1,"4,2"
1954T2,"4,4"
1954T3,"4,3"
1954T4,"4,5"
1955T1,"4,6"
1955T2,"4,7"
1955T3,"4,8"
1955T4,"4,9"
1956T1,"5,0"
1956T2,"5,1"
1956T3,"5,3"
1956T4,"5,3"
1957T1,"5,5"
1957T2,"5,7"
1957T3,"5,9"
1957T4,"6,1"
1958T1,"6,3"
1958T2,"6,6"
1958T3,"6,6"
1958T4,"6,8"
1959T1,"6,8"
1959T2,"7,0"
1959T3,"7,1"
1959T4,"7,3"
1960T1,"7,6"
1960T2,"7,8"
1960T3,"7,9"
1960T4,"8,1"
1961T1,"8,1"
1961T2,"8,3"
1961T3,"8,5"
1961T4,"8,8"
1962T1,"9,3"
1962T2,"9,6"
1962T3,"9,9"
1962T4,"10,1"
1963T1,"10,4"
1963T2,"10,6"
1963T3,"11,1"
1963T4,"11,2"
1964T1,"11,4"
1964T2,"11,7"
1964T3,"11,8"
1964T4,"12,1"
1965T1,"12,3"
1965T2,"12,5"
1965T3,"12,7"
1965T4,"13,0"
1966T1,"13,2"
1966T2,"13,5"
1966T3,"13,8"
1966T4,"14,2"
1967T1,"14,4"
1967T2,"14,7"
1967T3,"15,1"
1967T4,"15,3"
1968T1,"15,5"
1968T2,"15,7"
1968T3,"16,9"
1968T4,"17,3"
1969T1,"17,6"
1969T2,"18,1"
1969T3,"18,6"
1969T4,"19,1"
1970T1,"19,8"
1970T2,"20,4"
1970T3,"20,9"
1970T4,"21,4"
1971T1,"22,1"
1971T2,"22,6"
1971T3,"23,2"
1971T4,"24,0"
1972T1,"24,5"
1972T2,"25,3"
1972T3,"26,0"
1972T4,"27,0"
1973T1,"27,7"
1973T2,"28,6"
1973T3,"29,7"
1973T4,"31,0"
1974T1,"31,8"
1974T2,"34,1"
1974T3,"35,4"
1974T4,"36,7"
1975T1,"37,7"
1975T2,"38,8"
1975T3,"40,4"
1975T4,"41,9"
1976T1,"42,6"
1976T2,"43,7"
1976T3,"45,3"
1976T4,"46,7"
1977T1,"47,7"
1977T2,"49,2"
1977T3,"50,8"
1977T4,"52,6"
1978T1,"54,7"
1978T2,"56,6"
1978T3,"58,6"
1978T4,"60,5"
1979T1,"61,9"
1979T2,"63,1"
1979T3,"65,2"
1979T4,"67,1"
1980T1,"69,3"
1980T2,"71,8"
1980T3,"74,2"
1980T4,"76,6"
1981T1,"79,3"
1981T2,"82,9"
1981T3,"86,0"
1981T4,"88,5"
1982T1,"92,6"
1982T2,"96,1"
1982T3,"97,9"
1982T4,"98,6"
1983T1,"102,7"
1983T2,"104,4"
1983T3,"106,3"
1983T4,"108,5"
1984T1,"110,6"
1984T2,"111,5"
1984T3,"114,0"
1984T4,"114,6"
1985T1,"117,0"
1985T2,"119,0"
1985T3,"122,4"
1985T4,"124,0"
1986T1,"125,3"
1986T2,"126,6"
1986T3,"127,8"
1986T4,"129,5"
1987T1,"129,9"
1987T2,"133,0"
1987T3,"134,0"
1987T4,"135,5"
1988T1,"137,3"
1988T2,"140,0"
1988T3,"142,0"
1988T4,"145,3"
1989T1,"147,6"
1989T2,"149,2"
1989T3,"153,5"
1989T4,"156,6"
1990T1,"160,0"
1990T2,"160,9"
1990T3,"163,9"
1990T4,"164,1"
1991T1,"165,9"
1991T2,"168,1"
1991T3,"169,0"
1991T4,"171,0"
1992T1,"173,6"
1992T2,"176,4"
1992T3,"177,9"
1992T4,"178,7"
1993T1,"179,1"
1993T2,"180,4"
1993T3,"180,1"
1993T4,"179,7"
1994T1,"180,7"
1994T2,"181,2"
1994T3,"183,1"
1994T4,"184,8"
1995T1,"185,3"
1995T2,"187,6"
1995T3,"189,0"
1995T4,"190,6"
1996T1,"191,4"
1996T2,"193,4"
1996T3,"193,7"
1996T4,"193,9"
1997T1,"195,0"
1997T2,"195,5"
1997T3,"199,7"
1997T4,"201,2"
1998T1,"201,9"
1998T2,"204,5"
1998T3,"206,3"
1998T4,"206,2"
1999T1,"207,3"
1999T2,"209,1"
1999T3,"210,0"
1999T4,"213,9"
2000T1,"216,6"
2000T2,"220,0"
2000T3,"222,4"
2000T4,"230,8"
2001T1,"230,4"
2001T2,"232,1"
2001T3,"235,9"
2001T4,"238,1"
2002T1,"240,0"
2002T2,"241,7"
2002T3,"243,2"
2002T4,"249,6"
2003T1,"246,4"
2003T2,"248,2"
2003T3,"250,9"
2003T4,"253,6"
2004T1,"256,0"
2004T2,"259,9"
2004T3,"262,3"
2004T4,"264,0"
2005T1,"264,7"
2005T2,"267,6"
2005T3,"270,3"
2005T4,"273,5"
2006T1,"275,8"
2006T2,"281,5"
2006T3,"284,9"
2006T4,"289,1"
2007T1,"292,0"
2007T2,"296,4"
2007T3,"299,6"
2007T4,"304,0"
2008T1,"307,7"
2008T2,"308,6"
2008T3,"307,7"
2008T4,"307,1"
2009T1,"306,2"
2009T2,"306,9"
2009T3,"309,3"
2009T4,"310,6"
2010T1,"313,0"
2010T2,"315,7"
2010T3,"318,3"
2010T4,"320,0"
2011T1,"321,4"
2011T2,"323,1"
2011T3,"323,2"
2011T4,"324,2"
2012T1,"326,8"
2012T2,"328,2"
2012T3,"327,4"
2012T4,"322,5"
2013T1,"325,0"
2013T2,"325,0"
2013T3,"324,2"
2013T4,"323,9"
2014T1,"327,1"
2014T2,"328,3"
2014T3,"330,3"
2014T4,"329,7"
2015T1,"330,6"
2015T2,"331,1"
2015T3,"333,3"
2015T4,"334,7"
2016T1,"336,5"
2016T2,"336,8"
2016T3,"339,7"
2016T4,"340,4"
2017T1,"342,8"
2017T2,"344,8"
2017T3,"346,5"
2017T4,"349,7"
2018T1,"349,7"
2018T2,"354,2"
2018T3,"356,5"
2018T4,"361,2"
2019T1,"363,9"
2019T2,"364,9"
2019T3,"367,4"
2019T4,"370,9"
